date,entity,entity_type,value
2026-06-15,acrylic-ornament,product_type,103.8
2026-06-22,acrylic-ornament,product_type,100.4
2026-06-29,acrylic-ornament,product_type,101.9
2026-07-06,acrylic-ornament,product_type,99.5
2026-07-13,acrylic-ornament,product_type,100.0
2026-07-20,acrylic-ornament,product_type,104.2
2026-07-27,acrylic-ornament,product_type,98.3
2026-08-03,acrylic-ornament,product_type,99.2
2026-08-10,acrylic-ornament,product_type,100.4
2026-08-17,acrylic-ornament,product_type,102.2
2024-08-26,wood-ornament,product_type,34.2
2024-09-02,wood-ornament,product_type,44.2
2024-09-09,wood-ornament,product_type,41.4
2024-09-16,wood-ornament,product_type,44.3
2024-09-23,wood-ornament,product_type,35.3
2024-09-30,wood-ornament,product_type,44.1
2024-10-07,wood-ornament,product_type,60.0
2024-10-14,wood-ornament,product_type,57.1
2024-10-21,wood-ornament,product_type,55.7
2024-10-28,wood-ornament,product_type,58.0
2024-11-04,wood-ornament,product_type,89.6
2024-11-11,wood-ornament,product_type,87.1
2024-11-18,wood-ornament,product_type,87.0
2024-11-25,wood-ornament,product_type,89.9
2024-12-02,wood-ornament,product_type,105.8
2024-12-09,wood-ornament,product_type,100.8
2024-12-16,wood-ornament,product_type,106.6
2024-12-23,wood-ornament,product_type,102.1
2024-12-30,wood-ornament,product_type,102.2
2025-01-06,wood-ornament,product_type,83.6
2025-01-13,wood-ornament,product_type,85.9
2025-01-20,wood-ornament,product_type,87.9
2025-01-27,wood-ornament,product_type,82.5
2025-02-03,wood-ornament,product_type,58.0
2025-02-10,wood-ornament,product_type,53.2
2025-02-17,wood-ornament,product_type,56.7
2025-02-24,wood-ornament,product_type,52.9
2025-03-03,wood-ornament,product_type,37.1
2025-03-10,wood-ornament,product_type,44.2
2025-03-17,wood-ornament,product_type,36.5
2025-03-24,wood-ornament,product_type,36.2
2025-03-31,wood-ornament,product_type,34.2
2025-04-07,wood-ornament,product_type,38.8
2025-04-14,wood-ornament,product_type,39.4
2025-04-21,wood-ornament,product_type,35.9
2025-04-28,wood-ornament,product_type,31.7
2025-05-05,wood-ornament,product_type,34.2
2025-05-12,wood-ornament,product_type,33.2
2025-05-19,wood-ornament,product_type,30.9
2025-05-26,wood-ornament,product_type,32.4
2025-06-02,wood-ornament,product_type,35.3
2025-06-09,wood-ornament,product_type,31.8
2025-06-16,wood-ornament,product_type,34.4
2025-06-23,wood-ornament,product_type,28.0
2025-06-30,wood-ornament,product_type,38.3
2025-07-07,wood-ornament,product_type,31.9
2025-07-14,wood-ornament,product_type,35.6
2025-07-21,wood-ornament,product_type,33.4
2025-07-28,wood-ornament,product_type,34.0
2025-08-04,wood-ornament,product_type,29.5
2025-08-11,wood-ornament,product_type,30.5
2025-08-18,wood-ornament,product_type,30.5
2025-08-25,wood-ornament,product_type,32.6
2025-09-01,wood-ornament,product_type,39.0
2025-09-08,wood-ornament,product_type,36.2
2025-09-15,wood-ornament,product_type,32.0
2025-09-22,wood-ornament,product_type,34.9
2025-09-29,wood-ornament,product_type,34.2
2025-10-06,wood-ornament,product_type,45.4
2025-10-13,wood-ornament,product_type,46.2
2025-10-20,wood-ornament,product_type,48.4
2025-10-27,wood-ornament,product_type,43.7
2025-11-03,wood-ornament,product_type,70.0
2025-11-10,wood-ornament,product_type,73.7
2025-11-17,wood-ornament,product_type,71.9
2025-11-24,wood-ornament,product_type,74.0
2025-12-01,wood-ornament,product_type,89.8
2025-12-08,wood-ornament,product_type,81.0
2025-12-15,wood-ornament,product_type,85.6
2025-12-22,wood-ornament,product_type,82.9
2025-12-29,wood-ornament,product_type,80.5
2026-01-05,wood-ornament,product_type,66.1
2026-01-12,wood-ornament,product_type,67.3
2026-01-19,wood-ornament,product_type,67.0
2026-01-26,wood-ornament,product_type,65.8
2026-02-02,wood-ornament,product_type,43.3
2026-02-09,wood-ornament,product_type,50.5
2026-02-16,wood-ornament,product_type,37.8
2026-02-23,wood-ornament,product_type,46.2
2026-03-02,wood-ornament,product_type,31.5
2026-03-09,wood-ornament,product_type,30.1
2026-03-16,wood-ornament,product_type,25.2
2026-03-23,wood-ornament,product_type,33.4
2026-03-30,wood-ornament,product_type,26.6
2026-04-06,wood-ornament,product_type,31.0
2026-04-13,wood-ornament,product_type,33.6
2026-04-20,wood-ornament,product_type,24.4
2026-04-27,wood-ornament,product_type,31.7
2026-05-04,wood-ornament,product_type,27.9
2026-05-11,wood-ornament,product_type,21.4
2026-05-18,wood-ornament,product_type,23.9
2026-05-25,wood-ornament,product_type,28.0
2026-06-01,wood-ornament,product_type,28.5
2026-06-08,wood-ornament,product_type,22.4
2026-06-15,wood-ornament,product_type,27.1
2026-06-22,wood-ornament,product_type,29.4
2026-06-29,wood-ornament,product_type,29.8
2026-07-06,wood-ornament,product_type,25.4
2026-07-13,wood-ornament,product_type,27.9
2026-07-20,wood-ornament,product_type,29.6
2026-07-27,wood-ornament,product_type,28.9
2026-08-03,wood-ornament,product_type,29.1
2026-08-10,wood-ornament,product_type,26.6
2026-08-17,wood-ornament,product_type,25.9
2024-08-26,metal-ornament,product_type,67.8
2024-09-02,metal-ornament,product_type,69.8
2024-09-09,metal-ornament,product_type,75.4
2024-09-16,metal-ornament,product_type,67.5
2024-09-23,metal-ornament,product_type,70.6
2024-09-30,metal-ornament,product_type,72.0
2024-10-07,metal-ornament,product_type,97.6
2024-10-14,metal-ornament,product_type,98.2
2024-10-21,metal-ornament,product_type,100.7
2024-10-28,metal-ornament,product_type,96.5
2024-11-04,metal-ornament,product_type,145.2
2024-11-11,metal-ornament,product_type,146.9
2024-11-18,metal-ornament,product_type,146.4
2024-11-25,metal-ornament,product_type,148.9
2024-12-02,metal-ornament,product_type,176.2
2024-12-09,metal-ornament,product_type,178.9
2024-12-16,metal-ornament,product_type,184.3
2024-12-23,metal-ornament,product_type,179.9
2024-12-30,metal-ornament,product_type,176.2
2025-01-06,metal-ornament,product_type,146.3
2025-01-13,metal-ornament,product_type,140.7
2025-01-20,metal-ornament,product_type,147.2
2025-01-27,metal-ornament,product_type,152.3
2025-02-03,metal-ornament,product_type,92.6
2025-02-10,metal-ornament,product_type,91.8
2025-02-17,metal-ornament,product_type,94.2
2025-02-24,metal-ornament,product_type,99.0
2025-03-03,metal-ornament,product_type,77.2
2025-03-10,metal-ornament,product_type,73.4
2025-03-17,metal-ornament,product_type,68.2
2025-03-24,metal-ornament,product_type,72.0
2025-03-31,metal-ornament,product_type,77.4
2025-04-07,metal-ornament,product_type,66.0
2025-04-14,metal-ornament,product_type,67.4
2025-04-21,metal-ornament,product_type,67.7
2025-04-28,metal-ornament,product_type,62.3
2025-05-05,metal-ornament,product_type,69.4
2025-05-12,metal-ornament,product_type,69.0
2025-05-19,metal-ornament,product_type,60.4
2025-05-26,metal-ornament,product_type,62.4
2025-06-02,metal-ornament,product_type,63.5
2025-06-09,metal-ornament,product_type,68.7
2025-06-16,metal-ornament,product_type,64.2
2025-06-23,metal-ornament,product_type,67.6
2025-06-30,metal-ornament,product_type,65.9
2025-07-07,metal-ornament,product_type,66.6
2025-07-14,metal-ornament,product_type,67.9
2025-07-21,metal-ornament,product_type,67.2
2025-07-28,metal-ornament,product_type,66.4
2025-08-04,metal-ornament,product_type,67.9
2025-08-11,metal-ornament,product_type,67.6
2025-08-18,metal-ornament,product_type,66.3
2025-08-25,metal-ornament,product_type,65.7
2025-09-01,metal-ornament,product_type,77.7
2025-09-08,metal-ornament,product_type,70.7
2025-09-15,metal-ornament,product_type,76.2
2025-09-22,metal-ornament,product_type,70.0
2025-09-29,metal-ornament,product_type,74.5
2025-10-06,metal-ornament,product_type,101.5
2025-10-13,metal-ornament,product_type,95.2
2025-10-20,metal-ornament,product_type,94.2
2025-10-27,metal-ornament,product_type,94.9
2025-11-03,metal-ornament,product_type,147.2
2025-11-10,metal-ornament,product_type,148.3
2025-11-17,metal-ornament,product_type,147.2
2025-11-24,metal-ornament,product_type,146.0
2025-12-01,metal-ornament,product_type,185.2
2025-12-08,metal-ornament,product_type,178.7
2025-12-15,metal-ornament,product_type,177.4
2025-12-22,metal-ornament,product_type,181.8
2025-12-29,metal-ornament,product_type,181.8
2026-01-05,metal-ornament,product_type,151.5
2026-01-12,metal-ornament,product_type,153.1
2026-01-19,metal-ornament,product_type,148.3
2026-01-26,metal-ornament,product_type,146.4
2026-02-02,metal-ornament,product_type,90.4
2026-02-09,metal-ornament,product_type,93.3
2026-02-16,metal-ornament,product_type,96.8
2026-02-23,metal-ornament,product_type,92.6
2026-03-02,metal-ornament,product_type,67.3
2026-03-09,metal-ornament,product_type,72.2
2026-03-16,metal-ornament,product_type,74.4
2026-03-23,metal-ornament,product_type,71.3
2026-03-30,metal-ornament,product_type,74.7
2026-04-06,metal-ornament,product_type,68.8
2026-04-13,metal-ornament,product_type,70.4
2026-04-20,metal-ornament,product_type,73.4
2026-04-27,metal-ornament,product_type,74.8
2026-05-04,metal-ornament,product_type,68.6
2026-05-11,metal-ornament,product_type,65.0
2026-05-18,metal-ornament,product_type,66.6
2026-05-25,metal-ornament,product_type,71.1
2026-06-01,metal-ornament,product_type,63.7
2026-06-08,metal-ornament,product_type,70.7
2026-06-15,metal-ornament,product_type,65.9
2026-06-22,metal-ornament,product_type,67.1
2026-06-29,metal-ornament,product_type,64.0
2026-07-06,metal-ornament,product_type,62.4
2026-07-13,metal-ornament,product_type,65.6
2026-07-20,metal-ornament,product_type,70.3
2026-07-27,metal-ornament,product_type,64.3
2026-08-03,metal-ornament,product_type,71.8
2026-08-10,metal-ornament,product_type,65.2
2026-08-17,metal-ornament,product_type,63.7
2024-08-26,ceramic-ornament,product_type,71.4
2024-09-02,ceramic-ornament,product_type,78.3
2024-09-09,ceramic-ornament,product_type,76.7
2024-09-16,ceramic-ornament,product_type,76.5
2024-09-23,ceramic-ornament,product_type,80.8
2024-09-30,ceramic-ornament,product_type,76.2
2024-10-07,ceramic-ornament,product_type,101.2
2024-10-14,ceramic-ornament,product_type,99.1
2024-10-21,ceramic-ornament,product_type,106.3
2024-10-28,ceramic-ornament,product_type,101.1
2024-11-04,ceramic-ornament,product_type,157.9
2024-11-11,ceramic-ornament,product_type,161.9
2024-11-18,ceramic-ornament,product_type,164.7
2024-11-25,ceramic-ornament,product_type,159.2
2024-12-02,ceramic-ornament,product_type,193.1
2024-12-09,ceramic-ornament,product_type,193.3
2024-12-16,ceramic-ornament,product_type,191.8
2024-12-23,ceramic-ornament,product_type,191.9
2024-12-30,ceramic-ornament,product_type,191.8
2025-01-06,ceramic-ornament,product_type,160.3
2025-01-13,ceramic-ornament,product_type,157.1
2025-01-20,ceramic-ornament,product_type,161.3
2025-01-27,ceramic-ornament,product_type,156.8
2025-02-03,ceramic-ornament,product_type,99.9
2025-02-10,ceramic-ornament,product_type,104.8
2025-02-17,ceramic-ornament,product_type,100.9
2025-02-24,ceramic-ornament,product_type,100.4
2025-03-03,ceramic-ornament,product_type,74.5
2025-03-10,ceramic-ornament,product_type,78.8
2025-03-17,ceramic-ornament,product_type,75.2
2025-03-24,ceramic-ornament,product_type,78.0
2025-03-31,ceramic-ornament,product_type,73.5
2025-04-07,ceramic-ornament,product_type,71.9
2025-04-14,ceramic-ornament,product_type,69.2
2025-04-21,ceramic-ornament,product_type,71.1
2025-04-28,ceramic-ornament,product_type,71.3
2025-05-05,ceramic-ornament,product_type,64.9
2025-05-12,ceramic-ornament,product_type,67.9
2025-05-19,ceramic-ornament,product_type,70.5
2025-05-26,ceramic-ornament,product_type,70.9
2025-06-02,ceramic-ornament,product_type,71.2
2025-06-09,ceramic-ornament,product_type,67.7
2025-06-16,ceramic-ornament,product_type,72.0
2025-06-23,ceramic-ornament,product_type,65.3
2025-06-30,ceramic-ornament,product_type,62.7
2025-07-07,ceramic-ornament,product_type,66.3
2025-07-14,ceramic-ornament,product_type,70.7
2025-07-21,ceramic-ornament,product_type,63.8
2025-07-28,ceramic-ornament,product_type,62.6
2025-08-04,ceramic-ornament,product_type,62.3
2025-08-11,ceramic-ornament,product_type,69.6
2025-08-18,ceramic-ornament,product_type,63.0
2025-08-25,ceramic-ornament,product_type,69.0
2025-09-01,ceramic-ornament,product_type,71.7
2025-09-08,ceramic-ornament,product_type,70.3
2025-09-15,ceramic-ornament,product_type,69.5
2025-09-22,ceramic-ornament,product_type,73.1
2025-09-29,ceramic-ornament,product_type,70.1
2025-10-06,ceramic-ornament,product_type,97.8
2025-10-13,ceramic-ornament,product_type,98.9
2025-10-20,ceramic-ornament,product_type,99.4
2025-10-27,ceramic-ornament,product_type,100.3
2025-11-03,ceramic-ornament,product_type,151.8
2025-11-10,ceramic-ornament,product_type,148.0
2025-11-17,ceramic-ornament,product_type,152.4
2025-11-24,ceramic-ornament,product_type,152.9
2025-12-01,ceramic-ornament,product_type,183.8
2025-12-08,ceramic-ornament,product_type,183.3
2025-12-15,ceramic-ornament,product_type,191.4
2025-12-22,ceramic-ornament,product_type,179.9
2025-12-29,ceramic-ornament,product_type,185.1
2026-01-05,ceramic-ornament,product_type,153.2
2026-01-12,ceramic-ornament,product_type,148.9
2026-01-19,ceramic-ornament,product_type,149.2
2026-01-26,ceramic-ornament,product_type,148.4
2026-02-02,ceramic-ornament,product_type,96.2
2026-02-09,ceramic-ornament,product_type,98.8
2026-02-16,ceramic-ornament,product_type,95.4
2026-02-23,ceramic-ornament,product_type,105.2
2026-03-02,ceramic-ornament,product_type,69.5
2026-03-09,ceramic-ornament,product_type,74.9
2026-03-16,ceramic-ornament,product_type,72.4
2026-03-23,ceramic-ornament,product_type,71.0
2026-03-30,ceramic-ornament,product_type,75.0
2026-04-06,ceramic-ornament,product_type,60.5
2026-04-13,ceramic-ornament,product_type,66.5
2026-04-20,ceramic-ornament,product_type,63.0
2026-04-27,ceramic-ornament,product_type,63.8
2026-05-04,ceramic-ornament,product_type,63.0
2026-05-11,ceramic-ornament,product_type,61.5
2026-05-18,ceramic-ornament,product_type,59.4
2026-05-25,ceramic-ornament,product_type,65.4
2026-06-01,ceramic-ornament,product_type,64.0
2026-06-08,ceramic-ornament,product_type,63.2
2026-06-15,ceramic-ornament,product_type,66.3
2026-06-22,ceramic-ornament,product_type,65.4
2026-06-29,ceramic-ornament,product_type,63.1
2026-07-06,ceramic-ornament,product_type,73.0
2026-07-13,ceramic-ornament,product_type,66.9
2026-07-20,ceramic-ornament,product_type,71.1
2026-07-27,ceramic-ornament,product_type,62.4
2026-08-03,ceramic-ornament,product_type,64.9
2026-08-10,ceramic-ornament,product_type,60.4
2026-08-17,ceramic-ornament,product_type,63.1
2024-08-26,acrylic-suncatcher,product_type,34.2
2024-09-02,acrylic-suncatcher,product_type,43.3
2024-09-09,acrylic-suncatcher,product_type,32.2
2024-09-16,acrylic-suncatcher,product_type,33.5
2024-09-23,acrylic-suncatcher,product_type,29.8
2024-09-30,acrylic-suncatcher,product_type,35.7
2024-10-07,acrylic-suncatcher,product_type,31.2
2024-10-14,acrylic-suncatcher,product_type,36.6
2024-10-21,acrylic-suncatcher,product_type,28.4
2024-10-28,acrylic-suncatcher,product_type,33.4
2024-11-04,acrylic-suncatcher,product_type,28.2
2024-11-11,acrylic-suncatcher,product_type,32.2
2024-11-18,acrylic-suncatcher,product_type,32.7
2024-11-25,acrylic-suncatcher,product_type,31.7
2024-12-02,acrylic-suncatcher,product_type,32.0
2024-12-09,acrylic-suncatcher,product_type,36.4
2024-12-16,acrylic-suncatcher,product_type,39.9
2024-12-23,acrylic-suncatcher,product_type,34.4
2024-12-30,acrylic-suncatcher,product_type,30.7
2025-01-06,acrylic-suncatcher,product_type,33.6
2025-01-13,acrylic-suncatcher,product_type,32.3
2025-01-20,acrylic-suncatcher,product_type,36.0
2025-01-27,acrylic-suncatcher,product_type,34.1
2025-02-03,acrylic-suncatcher,product_type,29.9
2025-02-10,acrylic-suncatcher,product_type,37.9
2025-02-17,acrylic-suncatcher,product_type,37.5
2025-02-24,acrylic-suncatcher,product_type,39.0
2025-03-03,acrylic-suncatcher,product_type,39.9
2025-03-10,acrylic-suncatcher,product_type,42.3
2025-03-17,acrylic-suncatcher,product_type,37.8
2025-03-24,acrylic-suncatcher,product_type,41.1
2025-03-31,acrylic-suncatcher,product_type,42.4
2025-04-07,acrylic-suncatcher,product_type,54.0
2025-04-14,acrylic-suncatcher,product_type,56.9
2025-04-21,acrylic-suncatcher,product_type,56.3
2025-04-28,acrylic-suncatcher,product_type,54.3
2025-05-05,acrylic-suncatcher,product_type,68.9
2025-05-12,acrylic-suncatcher,product_type,63.9
2025-05-19,acrylic-suncatcher,product_type,64.9
2025-05-26,acrylic-suncatcher,product_type,60.0
2025-06-02,acrylic-suncatcher,product_type,56.8
2025-06-09,acrylic-suncatcher,product_type,53.7
2025-06-16,acrylic-suncatcher,product_type,57.9
2025-06-23,acrylic-suncatcher,product_type,51.0
2025-06-30,acrylic-suncatcher,product_type,56.2
2025-07-07,acrylic-suncatcher,product_type,33.8
2025-07-14,acrylic-suncatcher,product_type,42.1
2025-07-21,acrylic-suncatcher,product_type,39.7
2025-07-28,acrylic-suncatcher,product_type,41.3
2025-08-04,acrylic-suncatcher,product_type,31.5
2025-08-11,acrylic-suncatcher,product_type,30.4
2025-08-18,acrylic-suncatcher,product_type,31.9
2025-08-25,acrylic-suncatcher,product_type,33.7
2025-09-01,acrylic-suncatcher,product_type,33.4
2025-09-08,acrylic-suncatcher,product_type,32.5
2025-09-15,acrylic-suncatcher,product_type,28.7
2025-09-22,acrylic-suncatcher,product_type,37.0
2025-09-29,acrylic-suncatcher,product_type,32.5
2025-10-06,acrylic-suncatcher,product_type,29.4
2025-10-13,acrylic-suncatcher,product_type,32.5
2025-10-20,acrylic-suncatcher,product_type,31.9
2025-10-27,acrylic-suncatcher,product_type,30.6
2025-11-03,acrylic-suncatcher,product_type,30.2
2025-11-10,acrylic-suncatcher,product_type,34.0
2025-11-17,acrylic-suncatcher,product_type,36.1
2025-11-24,acrylic-suncatcher,product_type,24.8
2025-12-01,acrylic-suncatcher,product_type,34.5
2025-12-08,acrylic-suncatcher,product_type,30.9
2025-12-15,acrylic-suncatcher,product_type,31.5
2025-12-22,acrylic-suncatcher,product_type,34.7
2025-12-29,acrylic-suncatcher,product_type,22.7
2026-01-05,acrylic-suncatcher,product_type,33.2
2026-01-12,acrylic-suncatcher,product_type,34.5
2026-01-19,acrylic-suncatcher,product_type,28.6
2026-01-26,acrylic-suncatcher,product_type,26.4
2026-02-02,acrylic-suncatcher,product_type,36.8
2026-02-09,acrylic-suncatcher,product_type,26.6
2026-02-16,acrylic-suncatcher,product_type,33.1
2026-02-23,acrylic-suncatcher,product_type,34.8
2026-03-02,acrylic-suncatcher,product_type,39.3
2026-03-09,acrylic-suncatcher,product_type,39.8
2026-03-16,acrylic-suncatcher,product_type,37.2
2026-03-23,acrylic-suncatcher,product_type,39.3
2026-03-30,acrylic-suncatcher,product_type,35.8
2026-04-06,acrylic-suncatcher,product_type,49.6
2026-04-13,acrylic-suncatcher,product_type,51.4
2026-04-20,acrylic-suncatcher,product_type,46.6
2026-04-27,acrylic-suncatcher,product_type,52.9
2026-05-04,acrylic-suncatcher,product_type,52.0
2026-05-11,acrylic-suncatcher,product_type,60.4
2026-05-18,acrylic-suncatcher,product_type,60.6
2026-05-25,acrylic-suncatcher,product_type,56.8
2026-06-01,acrylic-suncatcher,product_type,47.0
2026-06-08,acrylic-suncatcher,product_type,49.4
2026-06-15,acrylic-suncatcher,product_type,52.4
2026-06-22,acrylic-suncatcher,product_type,51.5
2026-06-29,acrylic-suncatcher,product_type,47.0
2026-07-06,acrylic-suncatcher,product_type,37.3
2026-07-13,acrylic-suncatcher,product_type,37.7
2026-07-20,acrylic-suncatcher,product_type,37.5
2026-07-27,acrylic-suncatcher,product_type,33.8
2026-08-03,acrylic-suncatcher,product_type,31.0
2026-08-10,acrylic-suncatcher,product_type,33.2
2026-08-17,acrylic-suncatcher,product_type,32.0
2024-08-26,stainless-tumbler,product_type,46.1
2024-09-02,stainless-tumbler,product_type,43.3
2024-09-09,stainless-tumbler,product_type,38.8
2024-09-16,stainless-tumbler,product_type,35.6
2024-09-23,stainless-tumbler,product_type,35.5
2024-09-30,stainless-tumbler,product_type,38.4
2024-10-07,stainless-tumbler,product_type,32.1
2024-10-14,stainless-tumbler,product_type,35.4
2024-10-21,stainless-tumbler,product_type,37.6
2024-10-28,stainless-tumbler,product_type,39.5
2024-11-04,stainless-tumbler,product_type,31.1
2024-11-11,stainless-tumbler,product_type,35.9
2024-11-18,stainless-tumbler,product_type,35.3
2024-11-25,stainless-tumbler,product_type,35.5
2024-12-02,stainless-tumbler,product_type,35.7
2024-12-09,stainless-tumbler,product_type,35.0
2024-12-16,stainless-tumbler,product_type,39.1
2024-12-23,stainless-tumbler,product_type,38.6
2024-12-30,stainless-tumbler,product_type,41.1
2025-01-06,stainless-tumbler,product_type,34.6
2025-01-13,stainless-tumbler,product_type,33.2
2025-01-20,stainless-tumbler,product_type,31.4
2025-01-27,stainless-tumbler,product_type,32.6
2025-02-03,stainless-tumbler,product_type,36.3
2025-02-10,stainless-tumbler,product_type,36.7
2025-02-17,stainless-tumbler,product_type,36.0
2025-02-24,stainless-tumbler,product_type,31.8
2025-03-03,stainless-tumbler,product_type,32.9
2025-03-10,stainless-tumbler,product_type,40.6
2025-03-17,stainless-tumbler,product_type,32.1
2025-03-24,stainless-tumbler,product_type,38.7
2025-03-31,stainless-tumbler,product_type,35.6
2025-04-07,stainless-tumbler,product_type,37.6
2025-04-14,stainless-tumbler,product_type,36.1
2025-04-21,stainless-tumbler,product_type,37.4
2025-04-28,stainless-tumbler,product_type,40.6
2025-05-05,stainless-tumbler,product_type,48.2
2025-05-12,stainless-tumbler,product_type,55.4
2025-05-19,stainless-tumbler,product_type,49.9
2025-05-26,stainless-tumbler,product_type,52.4
2025-06-02,stainless-tumbler,product_type,59.2
2025-06-09,stainless-tumbler,product_type,62.0
2025-06-16,stainless-tumbler,product_type,55.5
2025-06-23,stainless-tumbler,product_type,56.9
2025-06-30,stainless-tumbler,product_type,52.2
2025-07-07,stainless-tumbler,product_type,49.4
2025-07-14,stainless-tumbler,product_type,52.3
2025-07-21,stainless-tumbler,product_type,49.3
2025-07-28,stainless-tumbler,product_type,55.4
2025-08-04,stainless-tumbler,product_type,38.7
2025-08-11,stainless-tumbler,product_type,35.4
2025-08-18,stainless-tumbler,product_type,38.2
2025-08-25,stainless-tumbler,product_type,32.3
2025-09-01,stainless-tumbler,product_type,29.0
2025-09-08,stainless-tumbler,product_type,27.6
2025-09-15,stainless-tumbler,product_type,31.1
2025-09-22,stainless-tumbler,product_type,30.8
2025-09-29,stainless-tumbler,product_type,34.4
2025-10-06,stainless-tumbler,product_type,29.3
2025-10-13,stainless-tumbler,product_type,26.5
2025-10-20,stainless-tumbler,product_type,34.0
2025-10-27,stainless-tumbler,product_type,20.4
2025-11-03,stainless-tumbler,product_type,29.1
2025-11-10,stainless-tumbler,product_type,29.5
2025-11-17,stainless-tumbler,product_type,28.7
2025-11-24,stainless-tumbler,product_type,30.1
2025-12-01,stainless-tumbler,product_type,28.8
2025-12-08,stainless-tumbler,product_type,29.8
2025-12-15,stainless-tumbler,product_type,26.4
2025-12-22,stainless-tumbler,product_type,23.7
2025-12-29,stainless-tumbler,product_type,27.8
