keyword,source,volume,competition,cpc,trend_30d,product_type_id
custom canvas bag,alura_etsy,49345,0.98,0.32,11.7,tote-bag
canvas tote bag,helium10_amazon,7379,0.867,0.88,13.8,tote-bag
bag gift,alura_etsy,24088,0.98,0.83,10.9,tote-bag
engraved bag,alura_etsy,67285,0.843,1.47,1.8,tote-bag
personalized pillow,alura_etsy,1329,0.387,1.14,-39.2,throw-pillow
custom fabric pillow,helium10_amazon,2646,0.285,1.47,10.4,throw-pillow
custom throw pillow,alura_etsy,1111,0.484,0.47,-23.6,throw-pillow
pillow gift,helium10_amazon,2330,0.704,1.06,-8.2,throw-pillow
engraved pillow,helium10_amazon,1468,0.726,1.49,6.8,throw-pillow
personalized plaque,alura_etsy,3537,0.586,1.4,-8.1,wood-plaque
custom wood plaque,alura_etsy,1227,0.157,1.62,-0.8,wood-plaque
engraved wood plaque,helium10_amazon,459,0.447,1.62,3.9,wood-plaque
plaque gift,helium10_amazon,829,0.476,1.64,11.0,wood-plaque
engraved plaque,alura_etsy,3712,0.643,1.62,4.1,wood-plaque
personalized plaque,helium10_amazon,2256,0.248,1.68,0.8,crystal-plaque
custom glass plaque,helium10_amazon,564,0.648,1.24,-2.5,crystal-plaque
crystal award plaque,alura_etsy,3058,0.705,0.34,15.5,crystal-plaque
plaque gift,alura_etsy,900,0.199,0.66,6.5,crystal-plaque
engraved plaque,alura_etsy,1512,0.661,1.33,-4.0,crystal-plaque
personalized plaque,alura_etsy,9217,0.703,0.48,18.6,acrylic-plaque
custom acrylic plaque,alura_etsy,6010,0.365,0.57,7.2,acrylic-plaque
acrylic award plaque,alura_etsy,4967,0.494,0.35,-23.7,acrylic-plaque
plaque gift,alura_etsy,6857,0.414,1.42,-0.4,acrylic-plaque
engraved plaque,helium10_amazon,2119,0.667,1.03,17.5,acrylic-plaque
personalized charm,alura_etsy,10567,0.644,1.15,8.2,car-charm
custom acrylic charm,helium10_amazon,10977,0.74,1.76,11.9,car-charm
acrylic car hanging charm,alura_etsy,1707,0.807,1.11,0.7,car-charm
charm gift,helium10_amazon,6013,0.557,1.77,20.9,car-charm
engraved charm,alura_etsy,4302,0.347,1.19,-7.4,car-charm
personalized necklace,alura_etsy,1110,0.242,1.74,-4.2,bar-necklace
custom metal necklace,alura_etsy,2310,0.299,0.42,-23.3,bar-necklace
engraved bar necklace,alura_etsy,4080,0.386,0.86,-31.7,bar-necklace
necklace gift,helium10_amazon,540,0.49,1.53,-5.6,bar-necklace
engraved necklace,helium10_amazon,830,0.339,1.07,5.0,bar-necklace
personalized bracelet,alura_etsy,848,0.242,0.79,-0.0,bead-bracelet
custom metal bracelet,alura_etsy,1810,0.381,0.62,-4.6,bead-bracelet
custom bead bracelet,helium10_amazon,718,0.263,0.7,-1.5,bead-bracelet
bracelet gift,helium10_amazon,2473,0.404,0.95,22.2,bead-bracelet
engraved bracelet,helium10_amazon,1314,0.201,0.98,18.3,bead-bracelet
personalized card,alura_etsy,1031,0.333,0.78,2.9,wallet-card
custom metal card,alura_etsy,2335,0.5,0.6,12.1,wallet-card
engraved wallet insert card,alura_etsy,4615,0.286,1.38,-10.6,wallet-card
card gift,alura_etsy,821,0.373,1.62,-0.1,wallet-card
engraved card,helium10_amazon,1452,0.238,1.36,8.8,wallet-card
personalized puzzle,helium10_amazon,4190,0.421,1.25,-5.3,photo-puzzle
custom paper puzzle,helium10_amazon,3782,0.913,1.59,-32.0,photo-puzzle
custom photo puzzle,alura_etsy,2692,0.261,1.77,-11.5,photo-puzzle
puzzle gift,alura_etsy,1996,0.663,0.61,24.1,photo-puzzle
engraved puzzle,helium10_amazon,4327,0.658,1.24,31.9,photo-puzzle
personalized pad,helium10_amazon,2624,0.624,1.21,5.0,mouse-pad
custom fabric pad,helium10_amazon,4845,0.644,0.94,2.7,mouse-pad
custom mouse pad,helium10_amazon,5390,0.362,1.56,33.5,mouse-pad
pad gift,helium10_amazon,3974,0.758,0.54,-3.9,mouse-pad
engraved pad,helium10_amazon,3278,0.526,1.06,-8.7,mouse-pad
personalized plate,alura_etsy,4372,0.531,1.69,3.4,desk-nameplate
custom wood plate,alura_etsy,4724,0.636,0.4,19.0,desk-nameplate
wood desk name plate,alura_etsy,2174,0.05,1.04,4.5,desk-nameplate
plate gift,helium10_amazon,1343,0.418,1.01,9.4,desk-nameplate
engraved plate,alura_etsy,779,0.241,0.48,5.2,desk-nameplate
